number,igsn,traintext,iSampleMaterial
752102,ODP02E7GR,"ODP | Sample 161-977A-18X-6 (115-117 cm.) | Individual Sample | Janus sample_id: 1063809 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
752105,ODP02T1P2,"ODP | Sample 184-1145B-3H-5 (8-10 cm.) | Individual Sample | Janus sample_id: 1435938 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
752231,NHB005NWL,NMNH 112063-182 (PET) | | Rock>Sedimentary | Mine | Hunting Hill Quarry  |  Breccia,mat:rock
752269,NHB000J3N,NMNH 113107-00 (MIN) | | Mineral>Priceite | Sultanschair | Priceite with pandermite,mat:mineral
752319,NHB005YV9,NMNH 113649-2 (PET) | | Rock>Igneous  |  Locality Key: Syracuse Quad | Volcanic ash,mat:rockorsediment
752406,ODP02T21D,"ODP | Sample 184-1145B-7H-5 (10-12 cm.) | Individual Sample | Janus sample_id: 1345377 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
752435,ODP02E7TZ,"ODP | Sample 161-977A-21X-5 (120-121 cm.) | Individual Sample | Janus sample_id: 1064068 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
752524,NHB006M50,NMNH 116537-260 (PET) | | Rock>Sedimentary  |  Boulder From S Side Of Pit | Bauxite,mat:rock
752531,NHB006MI4,NMNH 116560-12 (PET) | | Rock>Sedimentary | Mine | Bellavisto | Caliche with halite,mat:rock
752619,ODP02T292,"ODP | Sample 184-1145B-11H-3 (118-120 cm.) | Individual Sample | Janus sample_id: 1436798 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
752629,NHB00775S,NMNH 117593-519 (PET) | | Rock>Igneous | Volcano | VolcÃ¡n de Colima | Ash (tephra),mat:rockorsediment
752655,ODP02E82J,"ODP | Sample 161-977A-23X-4 (26-28 cm.) | Individual Sample | Janus sample_id: 1064269 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
752666,NHB007ATP,NMNH 117725-47 (PET) | | Rock>Metamorphic  |  Quartzite with chlorite and muscovite,mat:rock
752677,ODP01JITN,"ODP | Section 171-1051A-40X-4 | Core Section | ODP Leg 171 | platform: Ship, Joides Resolution",mat:rockorsediment
752695,ODP022QYP,"ODP | Sample 130-805B-42X-4 (76-78 cm.) | Individual Sample | Janus sample_id: 603558 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
752716,ODP02E84V,"ODP | Sample 161-977A-24X-1 (45-46 cm.) | Individual Sample | Janus sample_id: 1064391 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
752728,NHB0000E7,NMNH 12234-00 (MIN) | | Mineral>Wolframite | Horni Slavkov | Wolframite with quartz,mat:mineral
752736,ODP022R0B,"ODP | Sample 130-805B-44X-2 (23-24 cm.) | Individual Sample | Janus sample_id: 635865 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
752745,NHB000SSQ,NMNH 124791-00 (MIN) | | Mineral>Quartz  |  Green Monster Mtn | Quartz with epidote,mat:mineral
752758,ODP02T2F6,"ODP | Sample 184-1145B-13H-5 (75-77 cm.) | Individual Sample | Janus sample_id: 1350217 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
752771,NHB000WGH,NMNH 129521-00 (MIN) | | Mineral>Cordierite  |  Bamle | Cordierite (var. fahlunite),mat:mineral
752823,ODP02T2IB,"ODP | Sample 184-1145B-15X-4 (0-2 cm.) | Individual Sample | Janus sample_id: 1351080 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
753110,ODP02E8JY,"ODP | Sample 161-977A-28X-3 (142-144 cm.) | Individual Sample | Janus sample_id: 1075783 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
753121,ODP02E8KD,"ODP | Sample 161-977A-28X-6 (22-24 cm.) | Individual Sample | Janus sample_id: 1064649 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
753144,NHB0049P7,NMNH 74761 (PET) | | Other>Igneous | Volcano | PelÃ©e | Summit Sand | Volcanic dust,mat:particulate
753199,ODP022RHO,"ODP | Sample 130-806B-1H-2 (104-106 cm.) | Individual Sample | Janus sample_id: 1321942 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
753228,NHB004HEL,NMNH 87616-103 (PET) | | Rock>Metamorphic | Locality Key: Shansi | Chloritic gneiss,mat:rock
753229,ODP022RIX,"ODP | Sample 130-806B-1H-3 (145-150 cm.) | Individual Sample | ADDED IN MIGRATION;  Janus sample_id: 173478 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
753328,ODP022RMK,"ODP | Sample 130-806B-1H-3 (32-34 cm.) | Individual Sample | Janus sample_id: 1321958 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
753474,ODP022RRY,"ODP | Sample 130-806B-1H-5 (27-28 cm.) | Individual Sample | Janus sample_id: 604584 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
753483,ODP01JLBQ,"ODP | SubSection 171-1051B-9H-3-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 171 | platform: Ship, Joides Resolution",mat:rockorsediment
753518,ODP022RTK,"ODP | Sample 130-806B-2H-1 (8-9 cm.) | Individual Sample | Janus sample_id: 604798 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
753519,ODP02T3QH,"ODP | Sample 184-1146B-8H-4 (0-1 cm.) | Individual Sample | Janus sample_id: 1345316 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
753578,NHB0023VG,NMNH B13321-00 (MIN) | | Mineral>Pyromorphite | Horcajo_ Ciudad Real | Pyromorphite,mat:mineral
753600,ODP01JLIB,"ODP | Section 171-1051B-16X-7 | Core Section | ODP Leg 171 | platform: Ship, Joides Resolution",mat:rockorsediment
753652,ODP01JLJY,"ODP | SubSection 171-1051B-18X-6-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 171 | platform: Ship, Joides Resolution",mat:rockorsediment
753662,NHB001WJ6,NMNH B3450-00 (MIN) | | Mineral>Stephanite  |  Santa Rosa_ Chanarcillo | Stephanite,mat:mineral
753667,NHB001WXX,NMNH B4018-00 (MIN) | | Mineral>Pyrargyrite | Hodrusa | Pyrargyrite with stephanite,mat:mineral
753737,NHB002CIL,NMNH C2103-00 (MIN) | | Mineral>Alstonite  |  Alston Moor | Alstonite with bromlite,mat:mineral
753829,NHB002PCC,NMNH G11354-04 (MIN) | | Mineral>Quartz | Island | Java  |  Chalcedony (var. agate),mat:mineral
753877,NHB002PHG,NMNH G11376-68 (MIN) | | Mineral>Quartz | Island | Java  |  Chalcedony (var. agate),mat:mineral
753921,ODP02T4P4,"ODP | Sample 184-1146B-15H-3 (61-62 cm.) | Individual Sample | Janus sample_id: 1352402 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
753994,NHB0031O0,NMNH M15475-00 (MIN) | | Mineral>Tetrahedrite  |  Cavnic | Tetrahedrite with pyrite,mat:mineral
753996,ODP01JPV8,"ODP | Section Half 172-1056A-1H-8-W | Core Section Half | ODP Leg 172 | platform: Ship, Joides Resolution",mat:rockorsediment
753997,ODP01JPV9,"ODP | SubSection 172-1056A-1H-8-1C (0-22 cm.) | Core Sub-Piece | Core | ODP Leg 172 | platform: Ship, Joides Resolution",mat:rockorsediment
754028,ODP022SC1,"ODP | Sample 130-806B-2H-4 (9-10 cm.) | Individual Sample | Janus sample_id: 1461383 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
754080,NHB007V5R,NMNH M29779-00 (MIN) | | Mineral>Titanite  |  Titanite with asbestos and hornblende,mat:mineral
754093,ODP01JPZ7,"ODP | Section Half 172-1057A-5H-6-A | Core Section Half | ODP Leg 172 | platform: Ship, Joides Resolution",mat:rockorsediment
754153,NHB003H22,NMNH R11012-01 (MIN) | | Mineral>Haggite  |  Collected 10 Mi N Of Deming | HÃ¤ggite,mat:mineral
754179,ODP022SIB,"ODP | Sample 130-806B-2H-6 (67-68 cm.) | Individual Sample | Janus sample_id: 605012 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
754223,NHB0039AE,NMNH R2677-01 (MIN) | | Mineral>Azurite | Mine | Detroit Mine  |  Morenci | Azurite,mat:mineral
754364,PRR050312,PRR | PRR-50312 | Dredge | 58 | g | Rock>Igneous | [white_ porphyritic tuff] | Tuff,mat:rock
754396,PRR010831,PRR-10831 | | Rock>Metamorphic | Blue-green rim of pillow | Isla Norte | Metabasalt,mat:rock
754400,ODP02T5RL,"ODP | Sample 184-1146B-24X-1 (51-53 cm.) | Individual Sample | Janus sample_id: 1376692 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
754458,PRR016799,PRR-16799 | | Q[uartz]- Calcite. Till-calcite nodule origin. | Mt. Wanous | Calcite,mat:rock
754463,PRR017214,PRR-17214 | | Rock>Sedimentary | Uncommon_ type. | Plankington Bluff | Conglomerate,mat:rock
754502,PRR022357,PRR-22357 | | Rock>Sedimentary | Yellow weathering rocks. | Mt. Shattuck | Dolomite,mat:rock
754530,ODP022SZQ,"ODP | Sample 130-806B-3H-3 (38-39 cm.) | Individual Sample | Janus sample_id: 612314 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
754640,PRR037140,PRR-37140 | | Rock>Metamorphic | Volcanic or quartzite | Mt. Fairweather | Volcanic,mat:rock
754792,ODP02T655,"ODP | Sample 184-1146B-26X-2 (102-104 cm.) | Individual Sample | Janus sample_id: 1378683 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
754833,UGS0005HM,UGS | Bybell-006845 | | geologicage: Eocene Manasquan | Clayton core | Macrofossils,mat:rock
754885,UGS0006GL,UGS | Bybell-008104 | | geologicage: Eocene Nanjemoy | Valhalla core | Macrofossils,mat:rock
754958,ODP022TKR,"ODP | Sample 130-806B-3H-7 (38-39 cm.) | Individual Sample | Janus sample_id: 1461622 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
755003,ODP022TMR,"ODP | Sample 130-806B-4H-1 (101-105 cm.) | Individual Sample | Janus sample_id: 632573 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
755030,ARF000D2P,ARF | DF85 063 PC 0975-0976 cm | Core Sub-Piece | 1 | cc | depth 975-976 cm | DF85,mat:sediment
755070,ODP02T6EN,"ODP | Sample 184-1146B-26X-6 (81-82 cm.) | Individual Sample | Janus sample_id: 1379234 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
755144,ARF000D5H,ARF | DF85 072 PC 0682-0684 cm | Core Sub-Piece | 5 | cc | depth 682-684 cm | DF85,mat:sediment
755153,ODP02T6HF,"ODP | Sample 184-1147B-1H-6 (56-57 cm.) | Individual Sample | Janus sample_id: 1341711 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
755163,ODP02EHTO,"ODP | Sample 161-975B-1H-3 (80-81 cm.) | Individual Sample | Janus sample_id: 1055760 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
755191,ARF000DPJ,ARF | DF85 097 PC 0110-0111 cm | Core Sub-Piece | 8 | cc | depth 110-111 cm | DF85,mat:sediment
755203,ODP02EHUZ,"ODP | Sample 161-975B-2H-1 (65-67 cm.) | Individual Sample | Janus sample_id: 20007997 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
755225,ARF000DQX,ARF | DF85 105 PC 0270-0271 cm | Core Sub-Piece | 8 | cc | depth 270-271 cm | DF85,mat:sediment
755246,ODP022TYB,"ODP | Sample 130-806B-4H-3 (121-123 cm.) | Individual Sample | Janus sample_id: 1411737 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
755273,ODP02EHX8,"ODP | Sample 161-975B-2H-3 (84-85 cm.) | Individual Sample | Janus sample_id: 1074247 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
755307,ARF000DTI,ARF | DF85 107 PC 0430-0431 cm | Core Sub-Piece | 8 | cc | depth 430-431 cm | DF85,mat:sediment
755335,ARF000DUV,ARF | DF85 110 PC 0110-0111 cm | Core Sub-Piece | 8 | cc | depth 110-111 cm | DF85,mat:sediment
755355,ODP022U3J,"ODP | Sample 130-806B-4H-4 (99-101 cm.) | Individual Sample | Janus sample_id: 1587879 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
755365,ODP02T6PI,"ODP | Sample 184-1148B-6H-5 (55-56 cm.) | Individual Sample | Janus sample_id: 1343771 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
755394,ODP02T6QO,"ODP | Sample 184-1148B-7H-2 (70-72 cm.) | Individual Sample | Janus sample_id: 1344277 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
755448,ODP02T6SS,"ODP | Sample 184-1148B-8H-6 (25-27 cm.) | Individual Sample | Janus sample_id: 1344854 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
755547,ODP02T6WJ,"ODP | Sample 184-1148B-11H-4 (0-150 cm.) | Individual Sample | Janus sample_id: 1407961 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
755595,DSR0002EL,DSR | BI91-03B-01SC | Core | 0.215 | meters | BI91 | platform: Ship_ Cape Hatteras,mat:sediment
755597,DSR0002ES,DSR | BI91-06B-02SC | Core | 0.135 | meters | BI91 | platform: Ship_ Cape Hatteras,mat:sediment
755646,ODP02EI9Y,"ODP | Sample 161-975B-4H-2 (115-116 cm.) | Individual Sample | Janus sample_id: 1057819 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
755683,GRO001231,GRO | 10FRA21 - DO14C | | upstream of Thompson confluence | Fraser River at Lytton | Liquid>aqueous,mat:liquidwater
755728,ODP022ULY,"ODP | Sample 130-806B-5H-2 (100-101 cm.) | Individual Sample | Janus sample_id: 639281 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
755738,HRV0012S8,HRV | 103289 | | Mineral>Ferrocolumbite | Mineral Group: Columbite;    | Etta Mine,mat:mineral
755776,HRV001LT4,HRV | 104616 | Mineral>Schorl | | Mineral Group: Tourmaline; Quality: reference;  ,mat:mineral
755878,HRV001PA3,HRV | 112665 | | Mineral>Glaucophane | Mineral Group: Amphibole;    | Hearst Ranch,mat:mineral
756012,HRV0027P3,HRV | 123185 | | Mineral>Schorl | Mineral Group: Tourmaline;      | Bennett Quarry,mat:mineral
756088,ODP02EIT3,"ODP | Sample 161-975B-9H-1 (141-143 cm.) | Individual Sample | sapropel;  Janus sample_id: 1057868 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:sediment
756123,ODP022V56,"ODP | Sample 130-806B-6H-1 (8-9 cm.) | Individual Sample | Janus sample_id: 612555 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
756300,ODP022VF2,"ODP | Sample 130-806B-6H-4 (2-4 cm.) | Individual Sample | Janus sample_id: 630814 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
756303,ODP01JWW2,"ODP | SubSection 172-1062B-22X-5-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 172 | platform: Ship, Joides Resolution",mat:rockorsediment
756461,IEACM0054,IEACM | BIP-SK023 | | enamel. P2 | Birsley Quarry | Tooth | Beaker isotope project,mat:biogenicnonorganicmaterial
756465,ODP022VMM,"ODP | Sample 130-806B-6H-7 (84-86 cm.) | Individual Sample | Janus sample_id: 630884 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
756662,IEBEI004E,IEBEI | ANT14_GAL3_27 | Core Sub-Piece | Antarctic Peninsula | peat | USAP:G-094-P,mat:soil
756753,ODP02T7ZA,"ODP | Sample 184-1148B-53X-2 (23-30 cm.) | Individual Sample | Janus sample_id: 1324012 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
756797,IEBEI001S,IEBEI | ANT14_PET4_06 | Core Sub-Piece | Antarctic Peninsula | peat | USAP:G-094-P,mat:soil
756797,ODP02T80O,"ODP | Sample 184-1148B-56X-1 (36-36 cm.) | Individual Sample | Janus sample_id: 1324041 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
756801,IEBEI001W,IEBEI | ANT14_PET4_10 | Core Sub-Piece | Antarctic Peninsula | peat | USAP:G-094-P,mat:soil
756804,IEBEI001Z,IEBEI | ANT14_PET4_13 | Core Sub-Piece | Antarctic Peninsula | peat | USAP:G-094-P,mat:soil
756845,IEDAI03I3,IEDAI | BAD3/A 1 grounded | | depth 10-12 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
756846,IEDAI03I4,IEDAI | BAD3/A 2 grounded | | depth 20-22 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
756852,IEDAI03IA,IEDAI | BAD3/A 8 grounded | | depth 80-83 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
756856,IEDAI03MC,IEDAI | BAD4-5 grounded | | depth 160-165 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
756890,IEDAI02CD,IEDAI | BOU1/4 grounded | | depth 550-550 CMBS | Paleoenvironmental reconstruciton,mat:rockorsediment
756929,IEDAI01ND,IEDAI | IAM20/S3 grounded | | depth 20-30 CMBS | Paleoenvironmental reconstruciton,mat:rockorsediment
756935,IEDAI01QD,IEDAI | IAM30/IA-GF 295 | | depth 295-295 CMBS | Paleoenvironmental reconstruciton,mat:rockorsediment
756956,IEDAI015F,IEDAI | TAY34/4 0_63 MF | | depth 208-212 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
756962,IEDAI01B2,IEDAI | TAY65/4 0_063 MF | | depth 95-100 CMBS | Paleoenvironmental reconstruction,mat:rockorsediment
756979,ODP01JYQI,"ODP | SubSection 172-1056C-10H-8-1C (0-36 cm.) | Core Sub-Piece | Core | ODP Leg 172 | platform: Ship, Joides Resolution",mat:rockorsediment
757003,IEEJT000O,IEEJT | SJ 12cm | Core Sub-Piece | 15 | mL | lake | Great Salt Lake | Spiral Jetty,mat:sediment
757102,ODP02T8AV,"ODP | Sample 184-1143C-1H-5 (67-69 cm.) | Individual Sample | Janus sample_id: 1341229 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
757255,IEFRA02HD,IEFRA | MD03-2601 Tr27T | Core Section Half | 1.3 | sea | OcÃ©an Indien Sud | CADO,mat:sediment
757261,IEFRA02HU,IEFRA | MD03-2602 Tr03T | Core Section Half | 1.5 | sea | OcÃ©an Indien Sud | CADO,mat:sediment
757301,ODP01K049,"ODP | Section Half 172-1060C-10H-5-A | Core Section Half | ODP Leg 172 | platform: Ship, Joides Resolution",mat:rockorsediment
757321,ODP02T8IA,"ODP | Sample 184-1143C-2H-6 (132-134 cm.) | Individual Sample | Janus sample_id: 1418229 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
757329,ODP02T8IJ,"ODP | Sample 184-1143C-2H-7 (14-16 cm.) | Individual Sample | Janus sample_id: 1343920 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
757379,IEFRA0467,IEFRA | MD03-2705-Tr14T | Core Section Half | sea | North Atlantic Ocean | PICABIA,mat:sediment
757430,IEFRA03AQ,IEFRA | MD96-2075-tr04A | Core Section Half | 1.5 | sea | OcÃ©an indien | NAUSICAA,mat:sediment
757433,ODP02T8LW,"ODP | Sample 184-1143C-3H-5 (124-126 cm.) | Individual Sample | Janus sample_id: 1346059 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
757453,IEFRA03JP,IEFRA | MD96-2075-tr15T | Core Section Half | 1.5 | sea | OcÃ©an indien | NAUSICAA,mat:sediment
757502,IEFRA03KF,IEFRA | MD96-2076-tr16T | Core Section Half | 1.5 | sea | OcÃ©an indien | NAUSICAA,mat:sediment
757518,ODP02T8OO,"ODP | Sample 184-1143C-4H-2 (54-56 cm.) | Individual Sample | Janus sample_id: 1346962 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
757601,ODP02T8R9,"ODP | Sample 184-1143C-4H-4 (47-49 cm.) | Individual Sample | Janus sample_id: 1346947 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
757814,IEFRA03H3,IEFRA | MD96-2095-tr08A | Core Section Half | 1.5 | sea | OcÃ©an indien | NAUSICAA,mat:sediment
757825,ODP01K17X,"ODP | SubSection 172-1063C-11H-1-1C (0-150 cm.) | Core Sub-Piece | Core | ODP Leg 172 | platform: Ship, Joides Resolution",mat:rockorsediment
757832,IEFRA03HF,IEFRA | MD96-2096-tr02A | Core Section Half | 1.5 | sea | OcÃ©an indien | NAUSICAA,mat:sediment
757850,ODP02T8Z2,"ODP | Sample 184-1143C-6H-2 (56-57 cm.) | Individual Sample | Janus sample_id: 1314201 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
757880,IEFRA03QW,IEFRA | MD96-2098-tr07T | Core Section Half | 1.5 | sea | OcÃ©an indien | NAUSICAA,mat:sediment
757902,IEFRA03IK,IEFRA | MD96-2098-tr20A | Core Section Half | 1.5 | sea | OcÃ©an indien | NAUSICAA,mat:sediment
757931,IEFRA03RO,IEFRA | MD96-2099-tr13T | Core Section Half | 1.5 | sea | OcÃ©an indien | NAUSICAA,mat:sediment
757962,ODP022Z0O,"ODP | Sample 130-806B-21H-3 (26-27 cm.) | Individual Sample | Janus sample_id: 636121 | ODP Leg 130 | platform: Ship, Joides Resolution",mat:rockorsediment
758007,IEGRL009N,IEGRL | 13608 DG 7-2 | Grab | stream (deglaciated) | Kangerlussuaq | surface water,mat:liquidwater
758031,IEJDU002E,IEJDU | 243 | Grab | Rock>Hydrothermal>Sulfide | Stanton | Sph-Ba massive sulphide,mat:rock
758113,ODP01K2A2,"ODP | Section 172-1061D-1H-2 | Core Section | ODP Leg 172 | platform: Ship, Joides Resolution",mat:rockorsediment
758211,ODP02EP94,"ODP | Sample 161-974C-18X-6 (60-61 cm.) | Individual Sample | Janus sample_id: 1055138 | ODP Leg 161 | platform: Ship, Joides Resolution",mat:rockorsediment
758231,NHB0057NZ,NHB | NMNH 108381-127 (PET) | | Sea/Gulf | Caribbean Sea  |  Cuba ? | Unidentified,mat:material
758257,NHB0057Y7,NHB | NMNH 108566-10 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
758274,ODP02T9D6,"ODP | Sample 184-1143C-10H-2 (50-52 cm.) | Individual Sample | Janus sample_id: 1357718 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
758282,ODP02T9DH,"ODP | Sample 184-1143C-10H-2 (24-26 cm.) | Individual Sample | Janus sample_id: 1357799 | ODP Leg 184 | platform: Ship, Joides Resolution",mat:rockorsediment
758334,NHB00580I,NHB | NMNH 108566-98 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
758350,NHB00582M,NHB | NMNH 108567-24 (PET) | | Mine | Lobaugh mine  |  Stewart Hill | Unidentified,mat:material
